Variable,Variable Name,Measurement Unit,Allowed Values,Description
Quarter_Year,Year with quarter details,MM/DD/YYY,1-12/1-31/2000-2023,Year with quarter details
Other_United_States,Other renewables : United States,Numeric,0-9999,Other renewables : United States
Other_New_England,Other renewables : New England,Numeric,0-9999,Other renewables : New England
Other_Connecticut,Other renewables : Connecticut,Numeric,0-9999,Other renewables : Connecticut
Other_Maine,Other renewables : Maine,Numeric,0-9999,Other renewables : Maine
Other_Massachusetts,Other renewables : Massachusetts,Numeric,0-9999,Other renewables : Massachusetts
Other_New_Hampshire,Other renewables : New Hampshire,Numeric,0-9999,Other renewables : New Hampshire
Other_Rhode_Island,Other renewables : Rhode Island,Numeric,0-9999,Other renewables : Rhode Island
Other_Vermont,Other renewables : Vermont,Numeric,0-9999,Other renewables : Vermont
Other_Middle_Atlantic,Other renewables : Middle Atlantic,Numeric,0-9999,Other renewables : Middle Atlantic
Other_New_Jersey,Other renewables : New Jersey,Numeric,0-9999,Other renewables : New Jersey
Other_New_York,Other renewables : New York,Numeric,0-9999,Other renewables : New York
Other_Pennsylvania,Other renewables : Pennsylvania,Numeric,0-9999,Other renewables : Pennsylvania
Other_East_North_Central,Other renewables : East North Central,Numeric,0-9999,Other renewables : East North Central
Other_Illinois,Other renewables : Illinois,Numeric,0-9999,Other renewables : Illinois
Other_Indiana,Other renewables : Indiana,Numeric,0-9999,Other renewables : Indiana
Other_Michigan,Other renewables : Michigan,Numeric,0-9999,Other renewables : Michigan
Other_Ohio,Other renewables : Ohio,Numeric,0-9999,Other renewables : Ohio
Other_Wisconsin,Other renewables : Wisconsin,Numeric,0-9999,Other renewables : Wisconsin
Other_West_North_Central,Other renewables : West North Central,Numeric,0-9999,Other renewables : West North Central
Other_Iowa,Other renewables : Iowa,Numeric,0-9999,Other renewables : Iowa
Other_Kansas,Other renewables : Kansas,Numeric,0-9999,Other renewables : Kansas
Other_Minnesota,Other renewables : Minnesota,Numeric,0-9999,Other renewables : Minnesota
Other_Missouri,Other renewables : Missouri,Numeric,0-9999,Other renewables : Missouri
Other_Nebraska,Other renewables : Nebraska,Numeric,0-9999,Other renewables : Nebraska
Other_North_Dakota,Other renewables : North Dakota,Numeric,0-9999,Other renewables : North Dakota
Other_South_Dakota,Other renewables : South Dakota,Numeric,0-9999,Other renewables : South Dakota
Other_South_Atlantic,Other renewables : South Atlantic,Numeric,0-9999,Other renewables : South Atlantic
Other_Delaware,Other renewables : Delaware,Numeric,0-9999,Other renewables : Delaware
Other_District_Of_Columbia,Other renewables : District Of Columbia,Numeric,0-9999,Other renewables : District Of Columbia
Other_Florida,Other renewables : Florida,Numeric,0-9999,Other renewables : Florida
Other_Georgia,Other renewables : Georgia,Numeric,0-9999,Other renewables : Georgia
Other_Maryland,Other renewables : Maryland,Numeric,0-9999,Other renewables : Maryland
Other_North_Carolina,Other renewables : North Carolina,Numeric,0-9999,Other renewables : North Carolina
Other_South_Carolina,Other renewables : South Carolina,Numeric,0-9999,Other renewables : South Carolina
Other_Virginia,Other renewables : Virginia,Numeric,0-9999,Other renewables : Virginia
Other_West_Virginia,Other renewables : West Virginia,Numeric,0-9999,Other renewables : West Virginia
Other_East_South_Central,Other renewables : East South Central,Numeric,0-9999,Other renewables : East South Central
Other_Alabama,Other renewables : Alabama,Numeric,0-9999,Other renewables : Alabama
Other_Kentucky,Other renewables : Kentucky,Numeric,0-9999,Other renewables : Kentucky
Other_Mississippi,Other renewables : Mississippi,Numeric,0-9999,Other renewables : Mississippi
Other_Tennessee,Other renewables : Tennessee,Numeric,0-9999,Other renewables : Tennessee
Other_West_South_Central,Other renewables : West South Central,Numeric,0-9999,Other renewables : West South Central
Other_Arkansas,Other renewables : Arkansas,Numeric,0-9999,Other renewables : Arkansas
Other_Louisiana,Other renewables : Louisiana,Numeric,0-9999,Other renewables : Louisiana
Other_Oklahoma,Other renewables : Oklahoma,Numeric,0-9999,Other renewables : Oklahoma
Other_Texas,Other renewables : Texas,Numeric,0-9999,Other renewables : Texas
Other_Mountain,Other renewables : Mountain,Numeric,0-9999,Other renewables : Mountain
Other_Arizona,Other renewables : Arizona,Numeric,0-9999,Other renewables : Arizona
Other_Colorado,Other renewables : Colorado,Numeric,0-9999,Other renewables : Colorado
